btc_address, balance
1BwXuPyBKSmSibc4PcP1aU9iV4wdhfsuWG, 2.10923416
156wgHxWh8Aqyv3copT8FFVbb7x574ebHD, 2.10922960
1DPS35vZSbrmVzAjbWeDzggJexUdfURjYr, 2.10922461
bc1q2ktvjn2r8m3flu8hxvnncwwvqzcl8rc2tssypg, 2.10920134
1PrrwBKv9W4RZnpVm9932Yz9aH7hnVEYsk, 2.10920000
3NKVURVY4yYhAQxeQRad3KxUUF2ADZt3vD, 2.10920000
16Afz9MdgKAoRbRBg19e61gWBhdG9GfiWx, 2.10917000
33DMGEd41BtyoNpoL3xcNyGPMLsxcELzLh, 2.10916107
3N9gCkp2gTmSEGq2R1ijFCFQZ6yKzuEyu8, 2.10914726
1HV23FiZJ6bjs3vq2m7tBBf8KShaEyPmuf, 2.10913710
bc1qcjtsrt2aljec6agefgk2vvwlzewds0ycmwheag, 2.10913370
bc1quv8cz9uyude6en30sha0qu0284lwrpxs77w5ge, 2.10911606
3LmFJaxj5sAqd4rwa6WeFAENuyzWDTBtsP, 2.10910534
1NmZ3fr4QimfnrAYxUKPrhp95HgVHWCftZ, 2.10910000
bc1qdq62g8kk7779x3pl3usfkt3reddxlektqrnt45, 2.10910000
3NWWJm2GStcxA3fVU6L8sMm9uQkjjDzDE4, 2.10908780
bc1qqdaysurd4ycu7fnwr3qsy9yqd40pz42hn6ra3k, 2.10908200
bc1qurrsfnfldw6m63wdme5xnj7tpug40wdlpthss4, 2.10907445
3QzihbuVFgdkAXYY4bxJ43yFc5fEPZsqJh, 2.10907360
37fg4sJMiY4xs1rGk6ugKS4uaoMCNS63xK, 2.10906861
3FSW7ANP3jfeFJoehcAGLihjJ7RGrPFKqK, 2.10905501
1A7W7b7ubTFcxuzKmuGtM2DzeRNuzTvKuV, 2.10905215
3QPok9UUJaymHz61TPfEyc3RfJazeH22BP, 2.10903251
1HYTiNHQKffEJ2Sp54UXSEgq3oTdqDwUUQ, 2.10902903
3LpGSmCxL5uUBroxpbApjecgEu9GpbdufZ, 2.10902888
3JWzwYMBeWVeTLAXv4RSNhi55uMT3tWgqv, 2.10902742
1BiaRDhMetVj4vWYzioSSM9r49xv4y6pCu, 2.10902450
18twVVVCPfuqTSZF7av2EEsNRQG5CstL1Y, 2.10901336
3ASjRpZVke4GuhfPoK4aAwkfaewtANfQCN, 2.10900934
151o1nbNX2Z97NJP1KYUquTEheA5HJpRYT, 2.10900000
33a1iJmjofBBjicG6uugwrkvzhJrgPHjsW, 2.10900000
1N9EjLB9pvwi3MqPnDrd4nBPnagsyyizoS, 2.10900000
18c52kG8WJ76eRPf9F9DcqgPg3cME8dqdW, 2.10900000
18vrYu38goFuH8kwL9hScruzVRAeCFyvKe, 2.10900000
199aYhcMAJrNwCzoGcwoCBpybPAfm54UXL, 2.10900000
1HRwTeszsYo7SMGVnpJn4jwGZcTMNxzxiH, 2.10900000
3PH1NL8BfvFQyFADKQdTd2uww2fsr1ejWd, 2.10900000
3GNeazPDFPp3JFLC1wqJ7oX9CpmdyUmxpw, 2.10900000
35DmnCH6Roxbv1yoGenAPQt2m2dSBS8rm1, 2.10900000
16wRge2EzwcwB2E6vMYUVPRZNa6qshgph2, 2.10900000
1AMjfDb2b18by2VWw1wpqbcDX9K85YQpGx, 2.10900000
